Name,Morningstar Category,YTD (Daily),1 Yr,3 Yr,5 Yr,10 Yr,Life of Fund,Expense Ratio - Net,Expense Ratio - Gross,Morningstar- Overall,Morningstar- 3yrs,Morningstar- 5yrs,Morningstar- 10yrs,Morningstar Category Risk,Standard Deviation,3 Year Sharpe Ratio,Beta,R2,Manager Tenure,Inception Date,Assets (Millions),Turnover Rates,Minimum Investment,Load (Y/N),Expense Ratio - Net,Expense Ratio - Gross,NTF,1-year Rank,3-year Rank,5-year Rank,10-year Rank,Average Maturity,Average Duration,Minimum Investment,7-Day Yield,30-Day Yield,Last Dividend,YTD (Daily),1 Month,3 Month,YTD,NAV ($),NAV Change ($),NAV Change (%),30-Day Yield (%),7-Day Yield (%),Minimum Investment,Last Dividend
AB Core Opportunities Fund Class A (ADGAX),Large Blend,16.76%,36.48% (6/30/2021),16.20% (6/30/2021),16.39% (6/30/2021),13.99% (6/30/2021),9.49% (6/30/2021),1.11%,1.12%,3 (1257 Rated),3 (1257 Rated),3 (1099 Rated),3 (820 Rated),6,17.75 (06/30/2021),0.84 (06/30/2021),0.94 (06/30/2021),0.96 (06/30/2021),22 years,12/22/1999,$219.55,65% (11/30/2020),"$2,500.00",Y,1.11%,1.12%,N,  80% (1386 Funds),  65% (1257 Funds),  56% (1099 Funds),  40% (820 Funds),-,-,"$2,500",-,-,$0.0433 (12/10/2020),16.76% (7/15/2021),1.37% (6/30/2021),8.24% (6/30/2021),15.11% (6/30/2021),$25.57,-$0.06,-0.23%,-,-,"$2,500.00",$0.0433 (12/10/2020)
AB Core Opportunities Fund Class C (ADGCX),Large Blend,16.29%,35.40% (6/30/2021),15.32% (6/30/2021),15.52% (6/30/2021),13.16% (6/30/2021),8.71% (6/30/2021),1.86%,1.87%,3 (1257 Rated),3 (1257 Rated),3 (1099 Rated),3 (820 Rated),6,17.77 (06/30/2021),0.79 (06/30/2021),0.94 (06/30/2021),0.96 (06/30/2021),22 years,12/22/1999,$219.55,65% (11/30/2020),"$2,500.00",N,1.86%,1.87%,N,  83% (1386 Funds),  77% (1257 Funds),  69% (1099 Funds),  61% (820 Funds),-,-,"$2,500",-,-,$   0.00 (12/17/2015),16.29% (7/15/2021),1.28% (6/30/2021),8.00% (6/30/2021),14.66% (6/30/2021),$19.99,-$0.05,-0.25%,-,-,"$2,500.00",$   0.00 (12/17/2015)
AB Discovery Growth Fund Class A (CHCLX),Mid-Cap Growth,2.93%,43.18% (6/30/2021),21.16% (6/30/2021),23.82% (6/30/2021),15.32% (6/30/2021),10.90% (6/30/2021),0.96%,0.96%,3 (546 Rated),3 (546 Rated),4 (489 Rated),3 (379 Rated),6,25.06 (06/30/2021),0.79 (06/30/2021),1.01 (06/30/2021),0.95 (06/30/2021),13 years,07/07/1938,"$4,360.42",80% (07/31/2020),"$2,500.00",Y,0.96%,0.96%,Y,  61% (579 Funds),  44% (546 Funds),  16% (489 Funds),  22% (379 Funds),-,-,"$2,500",-,-,$   0.00 (12/16/2015),2.93% (7/15/2021),5.86% (6/30/2021),5.49% (6/30/2021),7.14% (6/30/2021),$14.41,-$0.13,-0.89%,-,-,"$2,500.00",$   0.00 (12/16/2015)
AB Discovery Growth Fund Class C (CHCCX),Mid-Cap Growth,2.51%,41.95% (6/30/2021),20.21% (6/30/2021),22.87% (6/30/2021),14.42% (6/30/2021),10.04% (6/30/2021),1.73%,1.73%,3 (546 Rated),3 (546 Rated),4 (489 Rated),3 (379 Rated),6,24.99 (06/30/2021),0.76 (06/30/2021),1.00 (06/30/2021),0.95 (06/30/2021),13 years,07/07/1938,"$4,360.42",80% (07/31/2020),"$2,500.00",N,1.73%,1.73%,N,  67% (579 Funds),  54% (546 Funds),  20% (489 Funds),  45% (379 Funds),-,-,"$2,500",-,-,$   0.00 (12/16/2015),2.51% (7/15/2021),5.75% (6/30/2021),5.26% (6/30/2021),6.58% (6/30/2021),$6.54,-$0.06,-0.91%,-,-,"$2,500.00",$   0.00 (12/16/2015)
AB Discovery Value Fund Class A (ABASX),Small Value,23.41%,70.37% (6/30/2021),9.00% (6/30/2021),12.13% (6/30/2021),10.52% (6/30/2021),10.62% (6/30/2021),1.15%,1.15%,4 (409 Rated),3 (409 Rated),3 (383 Rated),4 (285 Rated),7,27.08 (06/30/2021),0.28 (06/30/2021),1.04 (06/30/2021),0.98 (06/30/2021),16 years,03/29/2001,"$3,353.27",52% (11/30/2020),"$2,500.00",Y,1.15%,1.15%,N,  49% (433 Funds),  49% (409 Funds),  48% (383 Funds),  37% (285 Funds),-,-,"$2,500",-,-,$0.1088 (12/10/2020),23.41% (7/15/2021),-3.18% (6/30/2021),4.78% (6/30/2021),26.64% (6/30/2021),$25.20,-$0.09,-0.36%,-,-,"$2,500.00",$0.1088 (12/10/2020)
AB Discovery Value Fund Class C (ABCSX),Small Value,22.93%,69.06% (6/30/2021),8.19% (6/30/2021),11.29% (6/30/2021),9.72% (6/30/2021),9.83% (6/30/2021),1.90%,1.90%,3 (409 Rated),3 (409 Rated),3 (383 Rated),3 (285 Rated),7,27.03 (06/30/2021),0.25 (06/30/2021),1.04 (06/30/2021),0.98 (06/30/2021),16 years,03/29/2001,"$3,353.27",52% (11/30/2020),"$2,500.00",N,1.90%,1.90%,N,  54% (433 Funds),  61% (409 Funds),  66% (383 Funds),  55% (285 Funds),-,-,"$2,500",-,-,$0.0039 (12/12/2019),22.93% (7/15/2021),-3.24% (6/30/2021),4.63% (6/30/2021),26.24% (6/30/2021),$21.55,-$0.08,-0.37%,-,-,"$2,500.00",$0.0039 (12/12/2019)
AB Equity Income Fund Class A (AUIAX),Large Value,16.66%,37.54% (6/30/2021),12.20% (6/30/2021),11.62% (6/30/2021),10.30% (6/30/2021),9.38% (6/30/2021),1.00%,1.00%,3 (1141 Rated),3 (1141 Rated),3 (1012 Rated),3 (740 Rated),6,18.01 (06/30/2021),0.61 (06/30/2021),0.94 (06/30/2021),0.94 (06/30/2021),3 years,10/18/1993,$536.54,37% (11/30/2020),"$2,500.00",Y,1.00%,1.00%,N,  71% (1210 Funds),  46% (1141 Funds),  61% (1012 Funds),  74% (740 Funds),-,-,"$2,500",-,1.02% (04/30/2021),$0.1598 (06/08/2021),16.66% (7/15/2021),-0.01% (6/30/2021),7.06% (6/30/2021),15.49% (6/30/2021),$33.07,-$0.13,-0.39%,-,-,"$2,500.00",$0.1598 (06/08/2021)
AB Equity Income Fund Class C (AUICX),Large Value,16.18%,36.47% (6/30/2021),11.35% (6/30/2021),10.78% (6/30/2021),9.50% (6/30/2021),8.63% (6/30/2021),1.75%,1.75%,3 (1141 Rated),3 (1141 Rated),3 (1012 Rated),2 (740 Rated),6,18.00 (06/30/2021),0.56 (06/30/2021),0.94 (06/30/2021),0.94 (06/30/2021),3 years,10/27/1993,$536.54,37% (11/30/2020),"$2,500.00",N,1.75%,1.75%,N,  75% (1210 Funds),  60% (1141 Funds),  75% (1012 Funds),  86% (740 Funds),-,-,"$2,500",-,0.34% (04/30/2021),$0.068 (06/08/2021),16.18% (7/15/2021),-0.10% (6/30/2021),6.83% (6/30/2021),15.00% (6/30/2021),$32.59,-$0.12,-0.37%,-,-,"$2,500.00",$0.068 (06/08/2021)
Aberdeen U.S. Small Cap Equity Fund Class A (GSXAX),Small Growth,14.03%,48.60% (6/30/2021),16.65% (6/30/2021),14.59% (6/30/2021),13.91% (6/30/2021),10.86% (6/30/2021),1.39%,1.40%,3 (576 Rated),3 (576 Rated),2 (505 Rated),3 (379 Rated),7,23.39 (06/30/2021),0.66 (06/30/2021),0.88 (06/30/2021),0.92 (06/30/2021),13 years,11/02/1998,"$1,078.63",60.67% (10/31/2020),"$2,500.00",Y,1.39%,1.40%,Y,  69% (612 Funds),  61% (576 Funds),  91% (505 Funds),  50% (379 Funds),-,-,"$2,500",-,-,$0.00416 (12/20/2018),14.03% (7/15/2021),1.07% (6/30/2021),4.72% (6/30/2021),15.38% (6/30/2021),$43.82,-$0.16,-0.36%,-,-,"$2,500.00",$0.00416 (12/20/2018)
Aberdeen U.S. Small Cap Equity Fund Class C (GSXCX),Small Growth,13.64%,47.62% (6/30/2021),15.87% (6/30/2021),13.81% (6/30/2021),13.13% (6/30/2021),10.40% (6/30/2021),1.99%,2.10%,2 (576 Rated),3 (576 Rated),1 (505 Rated),3 (379 Rated),7,23.38 (06/30/2021),0.62 (06/30/2021),0.88 (06/30/2021),0.92 (06/30/2021),13 years,11/02/1998,"$1,078.63",60.67% (10/31/2020),"$2,500.00",N,1.99%,2.10%,N,  73% (612 Funds),  69% (576 Funds),  93% (505 Funds),  70% (379 Funds),-,-,"$2,500",-,-,-,13.64% (7/15/2021),1.02% (6/30/2021),4.54% (6/30/2021),14.99% (6/30/2021),$35.25,-$0.12,-0.34%,-,-,"$2,500.00",-
Aberdeen U.S. Small Cap Equity Fund Institutional Class (GSCIX),Small Growth,14.25%,49.12% (6/30/2021),17.04% (6/30/2021),14.95% (6/30/2021),14.27% (6/30/2021),11.46% (6/30/2021),0.99%,1.10%,3 (576 Rated),3 (576 Rated),2 (505 Rated),4 (379 Rated),7,23.38 (06/30/2021),0.67 (06/30/2021),0.88 (06/30/2021),0.92 (06/30/2021),13 years,11/02/1998,"$1,078.63",60.67% (10/31/2020),"$1,000,000.00",N,0.99%,1.10%,N,  66% (612 Funds),  57% (576 Funds),  89% (505 Funds),  40% (379 Funds),-,-,"$1,000,000",-,-,$0.02085 (12/20/2018),14.25% (7/15/2021),1.09% (6/30/2021),4.80% (6/30/2021),15.57% (6/30/2021),$47.47,-$0.17,-0.36%,-,-,"$1,000,000.00",$0.02085 (12/20/2018)
Aberdeen U.S. Small Cap Equity Fund Institutional Service Class (GSXIX),Small Growth,14.19%,48.96% (6/30/2021),16.96% (6/30/2021),14.90% (6/30/2021),14.23% (6/30/2021),11.45% (6/30/2021),1.12%,1.13%,3 (576 Rated),3 (576 Rated),2 (505 Rated),4 (379 Rated),7,23.38 (06/30/2021),0.67 (06/30/2021),0.88 (06/30/2021),0.92 (06/30/2021),13 years,11/02/1998,"$1,078.63",60.67% (10/31/2020),"$1,000,000.00",N,1.12%,1.13%,N,  67% (612 Funds),  58% (576 Funds),  89% (505 Funds),  42% (379 Funds),-,-,"$1,000,000",-,-,$0.02034 (12/20/2018),14.19% (7/15/2021),1.08% (6/30/2021),4.76% (6/30/2021),15.51% (6/30/2021),$47.40,-$0.17,-0.36%,-,-,"$1,000,000.00",$0.02034 (12/20/2018)
Aberdeen U.S. Sustainable Leaders Fund Class A (GXXAX),Large Growth,11.88%,35.69% (6/30/2021),19.59% (6/30/2021),17.93% (6/30/2021),12.74% (6/30/2021),7.05% (6/30/2021),1.19%,1.26%,2 (1138 Rated),2 (1138 Rated),2 (1024 Rated),2 (761 Rated),6,18.42 (06/30/2021),0.99 (06/30/2021),0.92 (06/30/2021),0.95 (06/30/2021),13 years,06/30/2000,$473.25,49.68% (10/31/2020),"$2,500.00",Y,1.19%,1.26%,Y,  86% (1239 Funds),  75% (1138 Funds),  87% (1024 Funds),  92% (761 Funds),-,-,"$2,500",-,-,$0.00881 (12/20/2019),11.88% (7/15/2021),2.37% (6/30/2021),7.62% (6/30/2021),10.46% (6/30/2021),$15.73,$0.00,0.00%,-,-,"$2,500.00",$0.00881 (12/20/2019)
Aberdeen U.S. Sustainable Leaders Fund Class C (GXXCX),Large Growth,11.38%,34.60% (6/30/2021),18.68% (6/30/2021),17.05% (6/30/2021),11.91% (6/30/2021),6.40% (6/30/2021),1.90%,2.08%,1 (1138 Rated),2 (1138 Rated),1 (1024 Rated),1 (761 Rated),6,18.41 (06/30/2021),0.94 (06/30/2021),0.92 (06/30/2021),0.95 (06/30/2021),13 years,06/30/2000,$473.25,49.68% (10/31/2020),"$2,500.00",N,1.90%,2.08%,N,  90% (1239 Funds),  84% (1138 Funds),  92% (1024 Funds),  97% (761 Funds),-,-,"$2,500",-,-,$0.00606 (09/18/2015),11.38% (7/15/2021),2.23% (6/30/2021),7.29% (6/30/2021),9.96% (6/30/2021),$12.53,$0.00,0.00%,-,-,"$2,500.00",$0.00606 (09/18/2015)
Aberdeen U.S. Sustainable Leaders Fund Institutional Class (GGLIX),Large Growth,12.08%,36.03% (6/30/2021),19.95% (6/30/2021),18.28% (6/30/2021),13.08% (6/30/2021),7.31% (6/30/2021),0.90%,1.01%,2 (1138 Rated),2 (1138 Rated),2 (1024 Rated),2 (761 Rated),6,18.43 (06/30/2021),1.01 (06/30/2021),0.92 (06/30/2021),0.95 (06/30/2021),13 years,06/30/2000,$473.25,49.68% (10/31/2020),"$1,000,000.00",N,0.90%,1.01%,N,  83% (1239 Funds),  72% (1138 Funds),  83% (1024 Funds),  90% (761 Funds),-,-,"$1,000,000",-,-,$0.03884 (12/20/2019),12.08% (7/15/2021),2.40% (6/30/2021),7.71% (6/30/2021),10.65% (6/30/2021),$17.26,$0.00,0.00%,-,-,"$1,000,000.00",$0.03884 (12/20/2019)
Aberdeen U.S. Sustainable Leaders Fund Institutional Service Class (GXXIX),Large Growth,12.01%,35.89% (6/30/2021),19.86% (6/30/2021),18.16% (6/30/2021),12.98% (6/30/2021),7.15% (6/30/2021),0.97%,1.04%,2 (1138 Rated),2 (1138 Rated),2 (1024 Rated),2 (761 Rated),6,18.44 (06/30/2021),1.01 (06/30/2021),0.92 (06/30/2021),0.95 (06/30/2021),13 years,06/30/2000,$473.25,49.68% (10/31/2020),"$1,000,000.00",N,0.97%,1.04%,N,  84% (1239 Funds),  73% (1138 Funds),  84% (1024 Funds),  91% (761 Funds),-,-,"$1,000,000",-,-,$0.03604 (12/20/2019),12.01% (7/15/2021),2.36% (6/30/2021),7.62% (6/30/2021),10.57% (6/30/2021),$17.16,$0.00,0.00%,-,-,"$1,000,000.00",$0.03604 (12/20/2019)
Aberdeen U.S. Sustainable Leaders Smaller Companies Fund Class A (MLSAX),Small Growth,10.51%,42.11% (6/30/2021),21.23% (6/30/2021),16.24% (6/30/2021),8.87% (6/30/2021),6.54% (6/30/2021),1.24%,2.13%,4 (576 Rated),4 (576 Rated),-,-,7,18.02 (06/30/2021),1.11 (06/30/2021),0.68 (06/30/2021),0.84 (06/30/2021),17 years,10/31/2001,$16.06,45.98% (10/31/2020),"$2,500.00",Y,1.24%,2.13%,Y,  87% (612 Funds),  34% (576 Funds),-,-,-,-,"$2,500",-,-,$0.00308 (12/20/2019),10.51% (7/15/2021),2.10% (6/30/2021),6.47% (6/30/2021),12.12% (6/30/2021),$9.57,-$0.05,-0.52%,-,-,"$2,500.00",$0.00308 (12/20/2019)
Aberdeen U.S. Sustainable Leaders Smaller Companies Fund Class C (MLSCX),Small Growth,10.08%,40.55% (6/30/2021),20.38% (6/30/2021),15.44% (6/30/2021),8.13% (6/30/2021),7.47% (6/30/2021),1.90%,2.84%,4 (576 Rated),4 (576 Rated),-,-,7,17.75 (06/30/2021),1.07 (06/30/2021),0.67 (06/30/2021),0.86 (06/30/2021),17 years,12/31/1997,$16.06,45.98% (10/31/2020),"$2,500.00",N,1.90%,2.84%,N,  91% (612 Funds),  40% (576 Funds),-,-,-,-,"$2,500",-,-,$0.00595 (12/20/2019),10.08% (7/15/2021),2.31% (6/30/2021),6.40% (6/30/2021),11.76% (6/30/2021),$1.31,$0.00,0.00%,-,-,"$2,500.00",$0.00595 (12/20/2019)
Aberdeen U.S. Sustainable Leaders Smaller Companies Fund Institutional Class (GGUIX),Small Growth,10.73%,42.69% (6/30/2021),21.66% (6/30/2021),16.62% (6/30/2021),9.23% (6/30/2021),7.10% (6/30/2021),0.90%,1.94%,4 (576 Rated),4 (576 Rated),-,-,7,18.08 (06/30/2021),1.13 (06/30/2021),0.68 (06/30/2021),0.84 (06/30/2021),17 years,06/29/2004,$16.06,45.98% (10/31/2020),"$1,000,000.00",N,0.90%,1.94%,N,  84% (612 Funds),  32% (576 Funds),-,-,-,-,"$1,000,000",-,-,$0.01101 (12/20/2019),10.73% (7/15/2021),2.20% (6/30/2021),6.59% (6/30/2021),12.30% (6/30/2021),$10.53,-$0.05,-0.47%,-,-,"$1,000,000.00",$0.01101 (12/20/2019)
Aberdeen U.S. Sustainable Leaders Smaller Companies Fund Institutional Service Class (AELSX),Small Growth,10.65%,42.42% (6/30/2021),21.53% (6/30/2021),16.47% (6/30/2021),9.02% (6/30/2021),8.33% (6/30/2021),1.04%,1.93%,4 (576 Rated),4 (576 Rated),-,-,7,18.02 (06/30/2021),1.12 (06/30/2021),0.67 (06/30/2021),0.84 (06/30/2021),17 years,11/03/2009,$16.06,45.98% (10/31/2020),"$1,000,000.00",N,1.04%,1.93%,Y,  85% (612 Funds),  32% (576 Funds),-,-,-,-,"$1,000,000",-,-,$0.01135 (12/20/2019),10.65% (7/15/2021),2.20% (6/30/2021),6.56% (6/30/2021),12.29% (6/30/2021),$10.08,-$0.05,-0.49%,-,-,"$1,000,000.00",$0.01135 (12/20/2019)
AB Growth Fund Class A (AGRFX),Large Growth,13.09%,37.93% (6/30/2021),22.89% (6/30/2021),23.21% (6/30/2021),17.26% (6/30/2021),11.90% (6/30/2021),1.17%,1.18%,4 (1138 Rated),3 (1138 Rated),4 (1024 Rated),4 (761 Rated),6,19.12 (06/30/2021),1.13 (06/30/2021),0.93 (06/30/2021),0.94 (06/30/2021),13 years,09/04/1990,"$1,597.93",38% (07/31/2020),"$2,500.00",Y,1.17%,1.18%,Y,  72% (1239 Funds),  44% (1138 Funds),  34% (1024 Funds),  28% (761 Funds),-,-,"$2,500",-,-,$   0.00 (12/16/2015),13.09% (7/15/2021),4.90% (6/30/2021),11.59% (6/30/2021),11.12% (6/30/2021),$116.26,-$0.52,-0.45%,-,-,"$2,500.00",$   0.00 (12/16/2015)
